Station,Date,Air Temperature [°C],Sunshine Duration [min],Wind Direction [°],Wind Speed [km/h],Gusts [km/h],Air Pressure [hPa]
Schiers,2023-08-02 16:30,28.30,-,318.00,11.90,20.50,-
Schüpfheim,2023-08-02 16:30,25.10,-,213.00,9.70,19.40,917.50
Scuol,2023-08-02 16:30,23.70,7.00,219.00,10.10,18.70,861.10
Segl-Maria,2023-08-02 16:30,13.10,0.00,228.00,24.80,40.00,815.10
Simplon-Dorf,2023-08-02 16:30,15.50,0.00,148.00,10.10,20.20,847.60
Sion,2023-08-02 16:30,32.10,9.00,259.00,32.40,53.30,944.90
St. Gallen,2023-08-02 16:30,24.00,0.00,201.00,6.80,12.60,913.40
"Sta. Maria, Val Müstair",2023-08-02 16:30,19.50,8.00,45.00,15.80,25.90,854.90
Stabio,2023-08-02 16:30,24.70,0.00,93.00,3.60,5.80,965.20
Säntis,2023-08-02 16:30,11.70,0.00,257.00,13.00,28.40,747.70
Thun,2023-08-02 16:30,29.00,0.00,257.00,19.40,44.30,935.90
Titlis,2023-08-02 16:30,7.70,-,273.00,18.00,30.20,696.30
Ulrichen,2023-08-02 16:30,21.00,3.00,86.00,28.10,50.40,857.30
Vaduz,2023-08-02 16:30,28.60,1.00,169.00,24.50,46.10,946.70
Valbella,2023-08-02 16:30,19.70,8.00,171.00,24.50,50.00,835.70
Vals,2023-08-02 16:30,20.40,0.00,183.00,22.00,37.80,-
Vevey / Corseaux,2023-08-02 16:30,26.90,0.00,285.00,43.60,69.10,-
Vicosoprano,2023-08-02 16:30,17.70,0.00,96.00,1.80,3.60,887.50
Villars-Tiercelin,2023-08-02 16:30,22.80,-,238.00,41.80,72.70,-
Visp,2023-08-02 16:30,29.90,0.00,288.00,35.60,55.10,928.00
Weissfluhjoch,2023-08-02 16:30,10.50,2.00,172.00,26.60,49.70,733.30
Wynau,2023-08-02 16:30,27.90,4.00,249.00,31.70,59.40,950.70
Wädenswil,2023-08-02 16:30,24.80,0.00,235.00,3.20,7.60,944.40
Würenlingen / PSI,2023-08-02 16:30,28.90,0.00,-,-,-,960.40
Zermatt,2023-08-02 16:30,22.00,0.00,197.00,23.80,40.70,828.70
Zürich / Affoltern,2023-08-02 16:30,27.60,0.00,257.00,16.60,32.40,948.30
Zürich / Fluntern,2023-08-02 16:30,27.10,0.00,239.00,19.80,55.40,936.40
Zürich / Kloten,2023-08-02 16:30,28.50,5.00,246.00,24.80,48.60,950.20
"Pfäffikon, ZH",2023-08-02 16:30,24.40,0.00,214.00,6.10,11.20,938.70
